Title,Link,Description,Duration,Timing,Start Date,Fee,Eligibility,Faculty Name,University Name,Skills
Doctor Of Business Administration,https://talentedge.com/golden-gate-university/doctor-of-business-administration,Doctorate,12-15 hours/week,36 Months,starting on: 15 Feb 2024,Total Cost ₹ 1226438 + GST,Master's Degree (or equivalent) or Bachelors Degree with 5+ years of work experience.,Dr. Mick Mcgee,GOLDEN GATE UNIVERSITY,"Applied Research, Concept Selection, Management Issues Redressal, Critical Decision-Making, Critical Thinking"
Professional Certificate Programme In HR Management And Analytics,https://talentedge.com/iim-kozhikode/professional-certificate-programme-in-hr-management-and-analytics,Executive Certifications,Format: Online,5 Months,starting on: 15 Feb 2024,Total Cost ₹ 105932 + GST,"- Minimum 2 years work experience if you have a Bachelor's Degree
- Freshers can apply if you have a Master’s Degree.",Prof T.N. Krishnan,IIM KOZHIKODE,"Talent sourcing, Employee retention,, Workforce planning, Development Analytics, HR best practices"
Data Analytics 360,https://talentedge.com/ecornell/certificate-course-data-analytics-360,Executive Certifications,3 Hours every Sunday from 1,19 Weeks,starting on: 13 Mar 2024,Total Cost ₹ 200000 + GST,Graduates (10+2+3) or Diploma Holders (only 10+2+3) from a recognized university (UGC/AICTE/DEC/AIU/State Government),Chris Anderson,CORNELL UNIVERSITY,"Create Statistical Summaries and Data Visualizations, Learn to Build Dashboards that Simplify Complex Business Situations, Use Statistical Methods to Test Scientific Hypotheses, Create Regression Models to Predict Likely Outcomes, Reduce Uncertainty in Decision Making, Predict Outcomes in Complex Situations"
Strategic Human Resources Leadership,https://talentedge.com/ecornell/certificate-course-strategic-human-resources-leadership,Executive Certifications,Sunday,3 months,starting on: 13 Mar 2024,Total Cost ₹ 70000 + GST,Graduates (10+2+3) or Diploma Holders (only 10+2+3) from a recognized university (UGC/AICTE/DEC/AIU/State Government),Christopher Collins,CORNELL UNIVERSITY,"Effectively Influence Business Strategy as an HR Leader, Create Maximum Value for Stakeholders, Create a Model for Best HR Practices, Build and Encourage a Culture of Engagement, Learn Contingency Planning, Learn to Use HR Analytics to Fulfil Organizational Needs"
Executive Leadership,https://talentedge.com/ecornell/certificate-course-executive-leadership,Executive Certifications,3 hours every Saturday from,4 months,starting on: 13 Mar 2024,Total Cost ₹ 70000 + GST,Graduates (10+2+3) or Diploma Holders (only 10+2+3) from a recognized university (UGC/AICTE/DEC/AIU/State Government),Glen Dowell,CORNELL UNIVERSITY,"Improve the Motivation and Quality of Management in the Organization, Enhance Decision Making Capabilities Under All Circumstances, Detect and Address Impediments to Your Credibility, Learn the Art of Negotiation"
Digital Transformation,https://talentedge.com/ecornell/certificate-course-digital-transformation,Executive Certifications,3 hours every Saturday from,4 months,starting on: 13 Mar 2024,Total Cost ₹ 70000 + GST,Graduates (10+2+3) or Diploma Holders (only 10+2+3) from a recognized university (UGC/AICTE/DEC/AIU/State Government),Karan Girotra,CORNELL UNIVERSITY,"Identify Innovation and Conduct a Digital Audit, Generate Opportunities for Digital Transformation, Develop an Action Plan to Implement Digital Innovation, Develop a Validated Business Model"
Human Resources Management,https://talentedge.com/ecornell/certificate-course-human-resources-management,Executive Certifications,3 Hours every Sunday from 1,4.5 months,starting on: 13 Mar 2024,Total Cost ₹ 70000 + GST,Graduates (10+2+3) or Diploma Holders (only 10+2+3) from a recognized university (UGC/AICTE/DEC/AIU/State Government),Alex Colvin,CORNELL UNIVERSITY,"360-Degree Implementation of HR Frameworks, Positively Affect Relationships among Management, Unions and Employees, Align Staffing Strategies with Business Strategies, Enhance Employee Engagement, Training and Development, Develop an Internal Consulting Relationship with Employees"
Technology Leadership,https://talentedge.com/ecornell/certificate-course-technology-leadership,Executive Certifications,3 hours every Saturday from,3 months,starting on: 13 Mar 2024,Total Cost ₹ 70000 + GST,Graduates (10+2+3) or Diploma Holders (only 10+2+3) from a recognized university (UGC/AICTE/DEC/AIU/State Government),Erica Dawson,CORNELL UNIVERSITY,"Manage and Lead Technology Professionals, Enhance Team Communication and Performance Effectiveness, Communicate Effectively and Courageously, Be a Change Leader"
Masters Of Business Administration,https://talentedge.com/opjindal-global-business-school/masters-of-business-administration-opj-global-university,Executive Certifications,,12 months,starting on: 31 Mar 2024,Total Cost ₹ 127119 + GST,Graduates (10+2+3) or Diploma Holders (only 10+2+3) from a recognized university (UGC/AICTE/DEC/AIU/State Government),Chris Oates,OPJINDAL GLOBAL BUSINESS SCHOOL,"Decision Making in business context, Analytical Thinking, Problem solving, Holistic Approach to business"
Doctorate Of Business Administration,https://talentedge.com/esgci-school-of-management-paris/doctorate-of-business-administration-esgci,Doctorate,2 hours of live lectures pe,36 Months,starting on: 31 Mar 2024,Total Cost ₹ 740741 + GST,Master's Degree (or equivalent) or Bachelors Degree with 5+ years of work experience.,Dr. Josse Roussel,"ESGCI SCHOOL OF MANAGEMENT, PARIS","Applied Research, Concept Selection, Management Issues Redressal, Critical Decision-Making, Analytical Skills"
